tokenID,name,description,file_name,attributes[Pulp],attributes[Fleck],attributes[Fold],attributes[Score],attributes[Facet],attributes[Seal],attributes[Draft]
3905,Fold #3905,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3905.gif,Cream Washi,Gold Dust,Hare,Valley Fold,Bare Facet,Tassel,Flutter
3906,Fold #3906,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3906.gif,Vermilion Washi,Plain Sheet,Boat,Radial Score,Body Wash,Hanko,Loose Scrap
3907,Fold #3907,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3907.gif,Moss Washi,Speckle,Frog,No Score,Band Wash,Hanko,Still Air
3908,Fold #3908,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3908.gif,Cream Washi,Kozo Fiber,Crane,Radial Score,Tip Wash,No Seal,Gust
3909,Fold #3909,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3909.gif,Cream Washi,Plain Sheet,Hare,Mountain Fold,Bare Facet,No Seal,Loose Scrap
3910,Fold #3910,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3910.gif,Cream Washi,Cloud Wash,Beetle,Radial Score,Body Wash,Mizuhiki Loop,Gust
3911,Fold #3911,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3911.gif,Vermilion Washi,Cloud Wash,Fan,Radial Score,Tip Wash,Mizuhiki Loop,Still Air
3912,Fold #3912,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3912.gif,Indigo Washi,Laid Stripe,Fan,Mountain Fold,Gore Wash,Hanko,Corner Lift
3913,Fold #3913,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3913.gif,Cream Washi,Plain Sheet,Hare,Grid Score,Band Wash,Twin Cord,Still Air
3914,Fold #3914,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3914.gif,Cream Washi,Speckle,Kite,No Score,Wing Wash,Mizuhiki Loop,Gust
3915,Fold #3915,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3915.gif,Indigo Washi,Gold Dust,Kite,Mountain Fold,Body Wash,Tassel,Corner Lift
3916,Fold #3916,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3916.gif,Vermilion Washi,Gold Dust,Frog,Crease Diagram,Tip Wash,No Seal,Still Air
3917,Fold #3917,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3917.gif,Moss Washi,Cloud Wash,Kite,Radial Score,Bare Facet,Twin Cord,Flutter
3918,Fold #3918,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3918.gif,Moss Washi,Gold Dust,Crane,Valley Fold,Wing Wash,Mizuhiki Loop,Still Air
3919,Fold #3919,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3919.gif,Gold Washi,Cloud Wash,Crane,Radial Score,Bare Facet,Tassel,Gust
3920,Fold #3920,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3920.gif,Gold Washi,Speckle,Crane,Crease Diagram,Wing Wash,Twin Cord,Still Air
3921,Fold #3921,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3921.gif,Vermilion Washi,Gold Dust,Crane,No Score,Tip Wash,Tassel,Flutter
3922,Fold #3922,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3922.gif,Indigo Washi,Gold Dust,Boat,Crease Diagram,Wing Wash,Mizuhiki Loop,Still Air
3923,Fold #3923,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3923.gif,Gold Washi,Speckle,Frog,No Score,Tip Wash,Mizuhiki Loop,Still Air
3924,Fold #3924,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3924.gif,Frost Washi,Speckle,Fan,No Score,Band Wash,Mizuhiki Loop,Flutter
3925,Fold #3925,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3925.gif,Cream Washi,Speckle,Fan,Crease Diagram,Band Wash,Hanko,Gust
3926,Fold #3926,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3926.gif,Cream Washi,Gold Dust,Beetle,No Score,Band Wash,Twin Cord,Flutter
3927,Fold #3927,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3927.gif,Moss Washi,Laid Stripe,Frog,No Score,Band Wash,No Seal,Still Air
3928,Fold #3928,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3928.gif,Cream Washi,Plain Sheet,Boat,Valley Fold,Body Wash,No Seal,Corner Lift
3929,Fold #3929,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3929.gif,Indigo Washi,Laid Stripe,Frog,Radial Score,Wing Wash,No Seal,Still Air
3930,Fold #3930,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3930.gif,Cream Washi,Cloud Wash,Crane,Crease Diagram,Gore Wash,No Seal,Flutter
3931,Fold #3931,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3931.gif,Indigo Washi,Laid Stripe,Frog,Radial Score,Tip Wash,Twin Cord,Flutter
3932,Fold #3932,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3932.gif,Gold Washi,Kozo Fiber,Fan,Grid Score,Wing Wash,Tassel,Still Air
3933,Fold #3933,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3933.gif,Cream Washi,Plain Sheet,Hare,Mountain Fold,Bare Facet,Mizuhiki Loop,Corner Lift
3934,Fold #3934,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3934.gif,Cream Washi,Gold Dust,Fan,Grid Score,Bare Facet,Tassel,Corner Lift
3935,Fold #3935,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3935.gif,Peach Washi,Speckle,Beetle,No Score,Bare Facet,No Seal,Flutter
3936,Fold #3936,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3936.gif,Peach Washi,Speckle,Frog,Radial Score,Wing Wash,Hanko,Corner Lift
3937,Fold #3937,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3937.gif,Peach Washi,Cloud Wash,Lotus,No Score,Wing Wash,No Seal,Gust
3938,Fold #3938,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3938.gif,Moss Washi,Gold Dust,Hare,No Score,Bare Facet,Tassel,Loose Scrap
3939,Fold #3939,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3939.gif,Ink Washi,Laid Stripe,Crane,Valley Fold,Bare Facet,Mizuhiki Loop,Loose Scrap
3940,Fold #3940,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3940.gif,Peach Washi,Kozo Fiber,Fan,No Score,Band Wash,Twin Cord,Corner Lift
3941,Fold #3941,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3941.gif,Vermilion Washi,Plain Sheet,Beetle,Mountain Fold,Wing Wash,Mizuhiki Loop,Gust
3942,Fold #3942,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3942.gif,Peach Washi,Speckle,Boat,Grid Score,Bare Facet,Tassel,Flutter
3943,Fold #3943,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3943.gif,Indigo Washi,Kozo Fiber,Kite,Grid Score,Body Wash,Hanko,Flutter
3944,Fold #3944,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3944.gif,Moss Washi,Kozo Fiber,Boat,Radial Score,Wing Wash,Tassel,Gust
3945,Fold #3945,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3945.gif,Cream Washi,Kozo Fiber,Kite,No Score,Body Wash,Mizuhiki Loop,Still Air
3946,Fold #3946,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3946.gif,Ink Washi,Cloud Wash,Crane,Mountain Fold,Bare Facet,Tassel,Gust
3947,Fold #3947,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3947.gif,Cream Washi,Speckle,Beetle,Crease Diagram,Gore Wash,Hanko,Gust
3948,Fold #3948,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3948.gif,Vermilion Washi,Speckle,Crane,Crease Diagram,Band Wash,Tassel,Corner Lift
3949,Fold #3949,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3949.gif,Frost Washi,Laid Stripe,Frog,Crease Diagram,Gore Wash,Twin Cord,Flutter
3950,Fold #3950,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3950.gif,Peach Washi,Speckle,Boat,Crease Diagram,Tip Wash,Hanko,Corner Lift
3951,Fold #3951,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3951.gif,Vermilion Washi,Cloud Wash,Hare,Grid Score,Band Wash,No Seal,Gust
3952,Fold #3952,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3952.gif,Frost Washi,Kozo Fiber,Frog,Valley Fold,Wing Wash,Hanko,Still Air
3953,Fold #3953,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3953.gif,Peach Washi,Speckle,Hare,No Score,Bare Facet,Tassel,Still Air
3954,Fold #3954,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3954.gif,Ink Washi,Kozo Fiber,Frog,No Score,Wing Wash,Hanko,Gust
3955,Fold #3955,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3955.gif,Moss Washi,Speckle,Hare,No Score,Bare Facet,Mizuhiki Loop,Loose Scrap
3956,Fold #3956,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3956.gif,Peach Washi,Kozo Fiber,Kite,Mountain Fold,Gore Wash,Mizuhiki Loop,Corner Lift
3957,Fold #3957,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3957.gif,Indigo Washi,Kozo Fiber,Hare,Valley Fold,Tip Wash,Twin Cord,Corner Lift
3958,Fold #3958,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3958.gif,Indigo Washi,Plain Sheet,Frog,Mountain Fold,Band Wash,Hanko,Flutter
3959,Fold #3959,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3959.gif,Vermilion Washi,Kozo Fiber,Fan,Crease Diagram,Gore Wash,Twin Cord,Corner Lift
3960,Fold #3960,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3960.gif,Ink Washi,Cloud Wash,Crane,Radial Score,Body Wash,Hanko,Loose Scrap
3961,Fold #3961,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3961.gif,Indigo Washi,Speckle,Boat,Valley Fold,Body Wash,No Seal,Loose Scrap
3962,Fold #3962,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3962.gif,Cream Washi,Plain Sheet,Boat,Grid Score,Gore Wash,No Seal,Flutter
3963,Fold #3963,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3963.gif,Vermilion Washi,Laid Stripe,Beetle,Crease Diagram,Band Wash,Twin Cord,Gust
3964,Fold #3964,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3964.gif,Peach Washi,Speckle,Hare,No Score,Tip Wash,No Seal,Still Air
3965,Fold #3965,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3965.gif,Cream Washi,Speckle,Beetle,No Score,Body Wash,No Seal,Still Air
3966,Fold #3966,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3966.gif,Moss Washi,Laid Stripe,Kite,Mountain Fold,Band Wash,Hanko,Corner Lift
3967,Fold #3967,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3967.gif,Gold Washi,Gold Dust,Lotus,No Score,Bare Facet,Hanko,Gust
3968,Fold #3968,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3968.gif,Frost Washi,Plain Sheet,Hare,No Score,Wing Wash,No Seal,Still Air
3969,Fold #3969,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3969.gif,Indigo Washi,Cloud Wash,Boat,Mountain Fold,Tip Wash,Tassel,Gust
3970,Fold #3970,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3970.gif,Cream Washi,Cloud Wash,Frog,Grid Score,Body Wash,Twin Cord,Loose Scrap
3971,Fold #3971,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3971.gif,Ink Washi,Speckle,Frog,Crease Diagram,Bare Facet,Hanko,Corner Lift
3972,Fold #3972,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3972.gif,Ink Washi,Kozo Fiber,Frog,No Score,Body Wash,No Seal,Still Air
3973,Fold #3973,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3973.gif,Peach Washi,Gold Dust,Hare,Mountain Fold,Bare Facet,Mizuhiki Loop,Still Air
3974,Fold #3974,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3974.gif,Gold Washi,Kozo Fiber,Frog,Mountain Fold,Bare Facet,Hanko,Corner Lift
3975,Fold #3975,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3975.gif,Peach Washi,Kozo Fiber,Hare,Mountain Fold,Bare Facet,Twin Cord,Corner Lift
3976,Fold #3976,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3976.gif,Cream Washi,Speckle,Hare,Radial Score,Wing Wash,Twin Cord,Gust
3977,Fold #3977,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3977.gif,Moss Washi,Plain Sheet,Beetle,Grid Score,Tip Wash,No Seal,Gust
3978,Fold #3978,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3978.gif,Ink Washi,Cloud Wash,Beetle,No Score,Gore Wash,No Seal,Flutter
3979,Fold #3979,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3979.gif,Indigo Washi,Kozo Fiber,Frog,Valley Fold,Bare Facet,Mizuhiki Loop,Loose Scrap
3980,Fold #3980,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3980.gif,Ink Washi,Laid Stripe,Hare,Valley Fold,Tip Wash,Mizuhiki Loop,Corner Lift
3981,Fold #3981,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3981.gif,Cream Washi,Kozo Fiber,Kite,Grid Score,Body Wash,Twin Cord,Corner Lift
3982,Fold #3982,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3982.gif,Indigo Washi,Gold Dust,Frog,Valley Fold,Bare Facet,No Seal,Still Air
3983,Fold #3983,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3983.gif,Ink Washi,Speckle,Fan,Radial Score,Wing Wash,Twin Cord,Still Air
3984,Fold #3984,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3984.gif,Ink Washi,Speckle,Frog,Valley Fold,Wing Wash,Tassel,Corner Lift
3985,Fold #3985,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3985.gif,Peach Washi,Plain Sheet,Boat,No Score,Wing Wash,No Seal,Loose Scrap
3986,Fold #3986,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3986.gif,Frost Washi,Kozo Fiber,Fan,Grid Score,Body Wash,Hanko,Flutter
3987,Fold #3987,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3987.gif,Gold Washi,Kozo Fiber,Crane,Crease Diagram,Gore Wash,Hanko,Still Air
3988,Fold #3988,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3988.gif,Cream Washi,Laid Stripe,Crane,Mountain Fold,Band Wash,Hanko,Still Air
3989,Fold #3989,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3989.gif,Moss Washi,Gold Dust,Fan,No Score,Body Wash,Tassel,Corner Lift
3990,Fold #3990,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3990.gif,Cream Washi,Laid Stripe,Fan,Mountain Fold,Tip Wash,No Seal,Flutter
3991,Fold #3991,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3991.gif,Vermilion Washi,Gold Dust,Boat,Mountain Fold,Bare Facet,Mizuhiki Loop,Gust
3992,Fold #3992,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3992.gif,Peach Washi,Kozo Fiber,Beetle,Radial Score,Gore Wash,Twin Cord,Gust
3993,Fold #3993,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3993.gif,Indigo Washi,Cloud Wash,Lotus,No Score,Wing Wash,Hanko,Corner Lift
3994,Fold #3994,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3994.gif,Ink Washi,Laid Stripe,Lotus,Crease Diagram,Wing Wash,Tassel,Corner Lift
3995,Fold #3995,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3995.gif,Cream Washi,Cloud Wash,Crane,Crease Diagram,Gore Wash,No Seal,Gust
3996,Fold #3996,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3996.gif,Indigo Washi,Plain Sheet,Beetle,Mountain Fold,Tip Wash,Hanko,Corner Lift
3997,Fold #3997,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3997.gif,Peach Washi,Cloud Wash,Frog,Mountain Fold,Tip Wash,Hanko,Loose Scrap
3998,Fold #3998,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3998.gif,Ink Washi,Gold Dust,Crane,Radial Score,Gore Wash,Mizuhiki Loop,Loose Scrap
3999,Fold #3999,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3999.gif,Moss Washi,Gold Dust,Hare,No Score,Bare Facet,No Seal,Corner Lift
4000,Fold #4000,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,4000.gif,Ink Washi,Gold Dust,Fan,Grid Score,Tip Wash,Tassel,Flutter
4001,Fold #4001,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,4001.gif,Frost Washi,Speckle,Hare,No Score,Bare Facet,Tassel,Flutter
4002,Fold #4002,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,4002.gif,Moss Washi,Kozo Fiber,Kite,Valley Fold,Band Wash,Twin Cord,Loose Scrap
4003,Fold #4003,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,4003.gif,Cream Washi,Kozo Fiber,Beetle,Mountain Fold,Bare Facet,Mizuhiki Loop,Corner Lift
4004,Fold #4004,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,4004.gif,Vermilion Washi,Laid Stripe,Lotus,Grid Score,Tip Wash,Tassel,Flutter
4005,Fold #4005,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,4005.gif,Frost Washi,Gold Dust,Kite,Valley Fold,Band Wash,No Seal,Still Air
4006,Fold #4006,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,4006.gif,Vermilion Washi,Cloud Wash,Beetle,No Score,Body Wash,Mizuhiki Loop,Loose Scrap
4007,Fold #4007,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,4007.gif,Gold Washi,Cloud Wash,Boat,Valley Fold,Band Wash,No Seal,Still Air
4008,Fold #4008,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,4008.gif,Vermilion Washi,Plain Sheet,Kite,Radial Score,Body Wash,Twin Cord,Gust
4009,Fold #4009,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,4009.gif,Frost Washi,Gold Dust,Hare,Radial Score,Body Wash,Hanko,Gust
4010,Fold #4010,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,4010.gif,Indigo Washi,Plain Sheet,Hare,No Score,Wing Wash,No Seal,Gust
4011,Fold #4011,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,4011.gif,Ink Washi,Cloud Wash,Frog,No Score,Bare Facet,Tassel,Flutter
4012,Fold #4012,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,4012.gif,Moss Washi,Plain Sheet,Beetle,Crease Diagram,Band Wash,Mizuhiki Loop,Corner Lift
4013,Fold #4013,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,4013.gif,Cream Washi,Laid Stripe,Boat,No Score,Tip Wash,Tassel,Flutter
4014,Fold #4014,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,4014.gif,Gold Washi,Plain Sheet,Frog,No Score,Bare Facet,Hanko,Corner Lift
4015,Fold #4015,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,4015.gif,Cream Washi,Plain Sheet,Crane,Valley Fold,Body Wash,Hanko,Gust
4016,Fold #4016,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,4016.gif,Cream Washi,Cloud Wash,Hare,No Score,Tip Wash,Mizuhiki Loop,Still Air
4017,Fold #4017,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,4017.gif,Frost Washi,Laid Stripe,Lotus,Crease Diagram,Wing Wash,No Seal,Flutter
4018,Fold #4018,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,4018.gif,Frost Washi,Laid Stripe,Beetle,No Score,Wing Wash,Tassel,Corner Lift
4019,Fold #4019,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,4019.gif,Indigo Washi,Gold Dust,Hare,No Score,Body Wash,Hanko,Corner Lift
4020,Fold #4020,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,4020.gif,Peach Washi,Speckle,Fan,No Score,Tip Wash,Twin Cord,Flutter
4021,Fold #4021,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,4021.gif,Gold Washi,Laid Stripe,Fan,Valley Fold,Wing Wash,Mizuhiki Loop,Loose Scrap
4022,Fold #4022,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,4022.gif,Vermilion Washi,Plain Sheet,Boat,Valley Fold,Tip Wash,Mizuhiki Loop,Corner Lift
4023,Fold #4023,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,4023.gif,Vermilion Washi,Laid Stripe,Boat,No Score,Body Wash,Tassel,Loose Scrap
4024,Fold #4024,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,4024.gif,Indigo Washi,Speckle,Hare,Crease Diagram,Bare Facet,Hanko,Gust
4025,Fold #4025,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,4025.gif,Vermilion Washi,Gold Dust,Kite,Grid Score,Band Wash,Twin Cord,Corner Lift
4026,Fold #4026,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,4026.gif,Cream Washi,Plain Sheet,Boat,Grid Score,Gore Wash,Hanko,Gust
4027,Fold #4027,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,4027.gif,Gold Washi,Plain Sheet,Beetle,Mountain Fold,Wing Wash,No Seal,Flutter
4028,Fold #4028,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,4028.gif,Vermilion Washi,Kozo Fiber,Hare,Grid Score,Bare Facet,Hanko,Corner Lift
4029,Fold #4029,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,4029.gif,Indigo Washi,Plain Sheet,Boat,Valley Fold,Bare Facet,Tassel,Gust
4030,Fold #4030,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,4030.gif,Moss Washi,Laid Stripe,Crane,Crease Diagram,Wing Wash,Hanko,Flutter
